ds,category,y,temp,rain,sentiment_score,day_of_week,month,is_weekend,sentiment_lag_7,is_subscriber,discount
2021-01-03,Continental Beverages,74463.0,21.5,1.3,-0.0229683195592286,Sunday,January,1,0.2720691923680568,1,20
2021-01-04,Continental Beverages,73813.14285714286,21.7,0.2,0.3163720538720539,Monday,January,0,0.2720691923680568,1,0
2021-01-05,Continental Beverages,73163.28571428571,21.3,0.5,0.4342592592592592,Tuesday,January,0,0.2720691923680568,1,0
2021-01-06,Continental Beverages,72513.42857142857,21.5,12.1,0.125,Wednesday,January,0,0.2720691923680568,1,10
2021-01-07,Continental Beverages,71863.57142857143,22.0,12.95,0.6708333333333334,Thursday,January,0,0.2720691923680568,0,0
2021-01-08,Continental Beverages,71213.71428571429,22.4,8.3,0.0023809523809523,Friday,January,0,0.2720691923680568,1,0
2021-01-09,Continental Beverages,70563.85714285714,22.3,0.8,0.5318114177489177,Saturday,January,1,0.2720691923680568,1,0
2021-01-10,Continental Beverages,69914.0,21.9,0.0,0.365947742733457,Sunday,January,1,-0.0229683195592286,1,0
2021-01-11,Continental Beverages,68275.42857142857,21.9,0.0,0.5274831649831649,Monday,January,0,0.3163720538720539,1,20
2021-01-12,Continental Beverages,66636.85714285714,21.1,0.1,0.3424242424242424,Tuesday,January,0,0.4342592592592592,1,0
2021-01-13,Continental Beverages,64998.28571428571,21.3,0.0,0.0558195592286501,Wednesday,January,0,0.125,0,0
2021-01-14,Continental Beverages,63359.71428571428,20.9,0.6,0.409375,Thursday,January,0,0.6708333333333334,1,0
2021-01-15,Continental Beverages,61721.142857142855,21.9,0.0,0.1922619047619047,Friday,January,0,0.0023809523809523,1,0
2021-01-16,Continental Beverages,60082.57142857143,22.1,0.0,0.2496685606060606,Saturday,January,1,0.5318114177489177,0,0
2021-01-17,Continental Beverages,58444.0,21.7,0.0,0.2330922865013774,Sunday,January,1,0.365947742733457,1,10
2021-01-18,Continental Beverages,59760.57142857143,20.4,0.0,0.2508116883116883,Monday,January,0,0.5274831649831649,1,50
2021-01-19,Continental Beverages,61077.142857142855,20.4,0.0,0.2067099567099567,Tuesday,January,0,0.3424242424242424,0,0
2021-01-20,Continental Beverages,62393.71428571429,22.0,0.0,0.1491550116550116,Wednesday,January,0,0.0558195592286501,0,0
2021-01-21,Continental Beverages,63710.28571428572,23.4,0.0,0.0933333333333333,Thursday,January,0,0.409375,1,0
2021-01-22,Continental Beverages,65026.857142857145,23.5,0.0,0.2770833333333333,Friday,January,0,0.1922619047619047,1,10
2021-01-23,Continental Beverages,66343.42857142858,22.8,0.0,0.225,Saturday,January,1,0.2496685606060606,0,0
2021-01-24,Continental Beverages,67660.0,21.5,0.0,0.205,Sunday,January,1,0.2330922865013774,1,0
2021-01-25,Continental Beverages,63892.28571428572,21.3,0.0,0.3276455026455026,Monday,January,0,0.2508116883116883,1,0
2021-01-26,Continental Beverages,60124.57142857143,21.3,0.0,0.093560606060606,Tuesday,January,0,0.2067099567099567,0,0
